timestamp,actorID,action,details
2026-04-29T09:12:46.019Z,UC-0001,LOGIN,Customer login
2026-04-29T12:51:12.707Z,UL-0001,LOGOUT,Lessor signed out
2026-04-29T13:06:45.220Z,UC-0001,LOGIN,Customer login
2026-04-29T13:22:06.839Z,UC-0001,LOGOUT,Customer signed out
2026-04-29T13:22:13.986Z,UL-0001,LOGIN,Lessor login
2026-04-29T14:21:22.722Z,,,
2026-04-29T15:44:57.036Z,UC-0001,LOGIN,Customer login
2026-04-29T16:14:11.617Z,UC-0001,BOOKING_CREATED,Booking B-0004 created for vehicle VC-0005
2026-04-29T16:14:11.620Z,UC-0001,BOOKING_CREATE,Requested booking for Kia Sportage for 3 days @ Rs.42
2026-04-29T16:19:27.471Z,UL-0001,LOGIN,Lessor login
2026-04-29T16:25:15.066Z,UL-0001,LOGOUT,Lessor signed out
2026-04-29T17:12:04.851Z,UC-0001,PICKUP_COMPLETED,Pickup for B-0002
2026-04-29T18:22:38.568Z,UC-0001,LOGIN,Customer login
2026-04-29T18:24:25.532Z,UC-0001,BOOKING_CREATED,Booking B-0005 created for vehicle VC-0007
2026-04-29T18:24:25.536Z,UC-0001,BOOKING_CREATE,"Requested booking for Hyundai Tucson for 3 days @ Rs.36,000"
2026-04-29T18:24:55.738Z,UC-0001,WALLET_TOPUP,"Deposited Rs.10,000"
2026-04-29T18:25:01.753Z,UC-0001,WALLET_WITHDRAW,"Withdrew Rs.10,000"
2026-04-29T18:26:04.685Z,UC-0001,BOOKING_CREATED,Booking B-0005 created for vehicle VC-0008
2026-04-29T18:26:04.688Z,UC-0001,BOOKING_CREATE,"Requested booking for Honda BRV for 3 days @ Rs.27,000"
2026-04-29T18:26:19.182Z,UL-0001,LOGIN,Lessor login
2026-04-29T18:26:37.222Z,SYSTEM,BOOKING_APPROVED,Booking B-0005 approved
2026-04-29T18:26:37.227Z,UL-0001,BOOKING_APPROVED,Approved booking B-0005
2026-04-29T18:26:37.248Z,UL-0001,RENTAL_APPROVED,Approved booking B-0005
2026-04-29T18:28:46.740Z,UC-0029,LOGIN,Admin login
2026-04-29T18:29:11.033Z,UC-0001,PICKUP_COMPLETED,Pickup for B-0005
2026-04-29T18:29:11.125Z,UC-0001,BOOKING_ACTIVATED,Booking B-0005 now Active
2026-04-29T18:29:11.134Z,UC-0001,PICKUP_COMPLETED,Pickup & activation for B-0005
2026-04-29T18:30:01.806Z,UC-0001,RETURN_COMPLETED,Return for B-0005
2026-04-29T18:30:01.814Z,UC-0001,RETURN_COMPLETED,Return for B-0005
2026-04-29T18:30:43.429Z,SYSTEM,DISPUTE_INITIATED,Booking B-0005 disputed
2026-04-29T18:30:43.443Z,UL-0001,DAMAGE_REPORTED,Owner disputed booking B-0005
2026-04-29T18:39:50.674Z,UC-0029,LOGIN,Admin login
2026-04-29T18:45:48.409Z,ADMIN,DISPUTE_RESOLVED,Booking B-0005 resolved as ResolvedFavorRenter
2026-04-29T18:45:48.419Z,UC-0029,DISPUTE_RESOLVED,B-0005 resolved: ResolvedFavorRenter. Notes:
2026-04-29T18:48:31.473Z,UC-0029,VEHICLE_VERIFY,Approved vehicle VC-0015
